version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,team,starter_v0/artifacts/system_prompt.md,v0+peb1c8179815b+t6cdb53d5d7b8,eb1c8179815bd79d34de7d326420bb99b3072e6e8ae96464c02d4411f905fc68,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Live baseline with OpenRouter,Baseline does not sufficiently constrain routing clarification and confirmation,case_accuracy,0.00,0.65,runs/v0_B_base_openrouter_20260729T115110429608.json
v1,team,starter_v0/artifacts/system_prompt.md,v1+p98794dd7dfc6+t9356f18fedc5,98794dd7dfc644e6d4830aee0dc5834947939013a6e8f5302eb177f911fcb4dd,9356f18fedc5163947b49d97c48dcb3c7ddc95274504351709c08bc151489069,Clarification and confirmation rules,Explicit boundary rules reduce routing and missing-information errors,case_accuracy,0.65,0.95,runs/v1_B_base_openrouter_20260729T115233569301.json
v2,team,starter_v0/artifacts/tools.yaml,v2+p5889b21a97d6+t669b1594fec4,5889b21a97d65d8b65f5239dcc1fa724d7bdc44425da9c98bc698ea789f07277,669b1594fec445dcf1fde167f6f7c86d6896f899b5f5ac01b71a99f8dc9cc26f,Add specialized tech-news declaration,A specialized tool can improve Hacker News routing but must be evaluated for regressions,case_accuracy,0.95,0.60,runs/v2_B_base_openrouter_20260729T115442592735.json
v3,team,starter_v0/artifacts/system_prompt.md,v3+p609186647d18+t360df9c40c6c,609186647d18d2cb27565a890754e39ecab9bb8ef10a88a30a2651d38c3c7d49,360df9c40c6c8054b2ce80aadfb604cccd5d54c67a462c179d409d8f44a29f21,Refine routing and confirmation policy,Clearer routing and boundary rules recover part of the v2 regression,case_accuracy,0.60,0.75,runs/v3_B_base_openrouter_20260729T115714395627.json
